Um well this is the kick-off meeting for our our project. so we're designing a new remote control and um Um, as you can see it's supposed to be original, trendy and user friendly. Um and so there are three different stages to the design. So we're gonna have like individual work and then a meeting about it. And repeat that process three times. So uh you get to draw your favourite animal and sum up your favourite characteristics of it. My favourite animal is like A beagle. Uh, right, well basically um high priority for any animal for me is that they be willing to take a lot of physical affection from their family. And, yeah that they have lots of personality Well, my favourite animal would be a monkey. Then they're small cute and furry, and I kind of like whales. They come in and go eat everything in sight. M my favourite animal is my own dog at home. Um he's very friendly and cheery and always pleased to see you,	The project manager introduced the upcoming project to the team members and then the team members participated in an exercise in which they drew their favorite animal and discussed what they liked about the animal.
Um so according to the brief um we're gonna be selling this remote control for twenty five Euro, And uh we don't want it to cost any more than uh twelve fifty Euros, so fifty percent of the selling price. but selling price is is that wholesale or retail? I imagine it probably is our sale actually because it's probably up to the the um the retailer to uh sell it for whatever price they want. Um. I mean do you think the fact that it's going to be sold internationally will have a bearing on how we design it at all? Like how much does, you know, a remote control cost. Well twenty five Euro, I mean that's um that's about like eighteen pounds or something, thi is this gonna to be like the premium product kinda thing or so I don't know how how good a remote control that would get you. Um.	The project manager talked about the project finances and selling prices.
um as well as uh characters, um different uh keypad styles and s symbols. Well right away I'm wondering if there's um th th uh, like with D_V_D_ players, if there are zones. 'cause you have more complicated characters like European languages, then you need more buttons. I'm thinking the price might might appeal to a certain market in one region, whereas in another it'll be different, so thinking, 'kay trendy probably means something other than just basic, But yeah, I suppose it has to look kind of cool and gimmicky. So extra functionalities. So, like, I wonder if we might add something new to the to the remote control market, so in function one of the priorities might be to combine as many uses Right, so do you think that should be like a main design aim of our remote control d you know, do your your satellite and your regular telly and your V_C_R_ and everything? maybe what we could use is a sort of like a example of a successful other piece technology is palm palm pilots. W You get those ones where you can, if you like, whistle or make a really high pitched noise they beep. Maybe we could think about how, could be more, you know, streamlined. S Maybe like a touch screen or something? Or whatever would be technologically reasonable. I mean you probably want some kind of unique selling point of it, I think one factor would be production cost.	The team then discussed various features to consider in making the remote.
I mean do you think the fact that it's going to be sold internationally will have a bearing on how we design it at all? Well right away I'm wondering if there's um th th uh, like with D_V_D_ players, if there are zones.	The remote will be sold on an international scale.
And uh we don't want it to cost any more than uh twelve fifty Euros, so fifty percent of the selling price.	The production costs cannot exceed 12.50 Euro.
are we at ma right now on the assumption that our television remote control may have features which go beyond the television? Or are we keeping sort of like a a design commitment to television features? So extra functionalities. so in function one of the priorities might be to combine as many uses	Whether the remote will be used exclusively for televisions.
Um so inbetween now and then, um as the industrial designer, you're gonna be working on you know the actual working design of it	The industrial designer will work on the working design of the remote.
Um for user interface, technical functions,	The user interface designer will work on the technical functions of the remote.
Um and uh marketing executive, you'll be just thinking about what it actually what, you know, what requirements it has to has to fulfil	The marketing executive will work on what requirements the remote has to fulfill
Um so according to the brief um we're gonna be selling this remote control for twenty five Euro, Well twenty five Euro, I mean that's um that's about like eighteen pounds or something,	The remote will sell for 25 Euro.
